Extracted:,United Nations High Commissioner for Refugees
Date extracted:,14/02/2020 12:52:04
Last updated:,14/02/2020 12:52:04

Data table contains the following:,UNHCR resettlement departures
Years selected:,"2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019"
2019 data (if included) as of:, December 2019
Country of origin:,"IRQ,SYR"
Country of asylum:,"AFG,BGD,KHM,CHN,HKG,MAC,FJI,IND,IDN,IRN,KAZ,KGZ,MYS,FSM,MNG,MMR,NRU,NPL,PAK,PLW,PNG,PHL,WSM,SGP,SLB,LKA,TJK,THA,TLS,TKM,UZB,VUT,VNM"
Resettlement country:,"ALB,ARG,AUS,AUT,BLR,BEL,BRA,BGR,CAN,CHL,HRV,CYP,CZE,DNK,EST,FIN,FRA,DEU,HUN,ISL,IRL,ITA,JPN,LVA,LIE,LTU,LUX,MLT,MEX,MCO,NLD,NZL,NOR,PRY,POL,PRT,KOR,ROU,SVK,SVN,ESP,SWE,CHE,GBR,USA,URY"

Year,Country of Origin (ISO),Country of Origin,Country of Asylum,Country of Asylum (ISO),Country of Resettlement (ISO),Country of Resettlement,Total departures (persons)
2005,IRQ,"Iraq",IND,"India",CAN,"Canada",1
2005,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",CAN,"Canada",8
2006,IRQ,"Iraq",THA,"Thailand",AUS,"Australia",2
2006,IRQ,"Iraq",MYS,"Malaysia",GBR,"United Kingdom of Great Britain and Northern Ireland",3
2006,IRQ,"Iraq",IDN,"Indonesia",USA,"United States of America",5
2006,IRQ,"Iraq",THA,"Thailand",SWE,"Sweden",1
2006,IRQ,"Iraq",THA,"Thailand",USA,"United States of America",2
2006,IRQ,"Iraq",MYS,"Malaysia",NZL,"New Zealand",2
2006,IRQ,"Iraq",IND,"India",CAN,"Canada",8
2006,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",CAN,"Canada",9
2007,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",SWE,"Sweden",78
2007,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",AUS,"Australia",14
2007,IRQ,"Iraq",IDN,"Indonesia",AUS,"Australia",70
2007,IRQ,"Iraq",MYS,"Malaysia",CAN,"Canada",1
2007,IRQ,"Iraq",IND,"India",SWE,"Sweden",1
2007,IRQ,"Iraq",UZB,"Uzbekistan",NOR,"Norway",1
2007,IRQ,"Iraq",MYS,"Malaysia",NOR,"Norway",27
2007,IRQ,"Iraq",THA,"Thailand",NLD,"Netherlands",1
2007,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",GBR,"United Kingdom of Great Britain and Northern Ireland",1
2007,IRQ,"Iraq",MYS,"Malaysia",SWE,"Sweden",21
2007,IRQ,"Iraq",THA,"Thailand",USA,"United States of America",1
2007,IRQ,"Iraq",NPL,"Nepal",USA,"United States of America",6
2008,IRQ,"Iraq",CHN,"China",SWE,"Sweden",5
2008,IRQ,"Iraq",NPL,"Nepal",USA,"United States of America",1
2008,IRQ,"Iraq",THA,"Thailand",NZL,"New Zealand",1
2008,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",SWE,"Sweden",5
2008,IRQ,"Iraq",CHN,"China",USA,"United States of America",15
2008,IRQ,"Iraq",IDN,"Indonesia",NZL,"New Zealand",21
2008,IRQ,"Iraq",IDN,"Indonesia",AUS,"Australia",27
2008,IRQ,"Iraq",MYS,"Malaysia",CAN,"Canada",3
2008,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",CHE,"Switzerland",7
2008,IRQ,"Iraq",IDN,"Indonesia",CAN,"Canada",6
2008,IRQ,"Iraq",IND,"India",SWE,"Sweden",2
2008,IRQ,"Iraq",KGZ,"Kyrgyzstan",USA,"United States of America",5
2008,IRQ,"Iraq",MYS,"Malaysia",NOR,"Norway",1
2008,IRQ,"Iraq",THA,"Thailand",NLD,"Netherlands",4
2008,IRQ,"Iraq",THA,"Thailand",CAN,"Canada",5
2008,IRQ,"Iraq",MYS,"Malaysia",SWE,"Sweden",3
2008,IRQ,"Iraq",THA,"Thailand",USA,"United States of America",5
2008,IRQ,"Iraq",IDN,"Indonesia",DNK,"Denmark",1
2008,IRQ,"Iraq",MYS,"Malaysia",NZL,"New Zealand",5
2008,SYR,"Syrian Arab Rep.",IND,"India",SWE,"Sweden",5
2008,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",CAN,"Canada",4
2009,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",CAN,"Canada",5
2009,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",AUS,"Australia",23
2009,SYR,"Syrian Arab Rep.",UZB,"Uzbekistan",USA,"United States of America",1
2009,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",SWE,"Sweden",1
2009,IRQ,"Iraq",IDN,"Indonesia",NZL,"New Zealand",8
2009,IRQ,"Iraq",UZB,"Uzbekistan",FIN,"Finland",1
2009,IRQ,"Iraq",IDN,"Indonesia",AUS,"Australia",20
2009,IRQ,"Iraq",MYS,"Malaysia",CAN,"Canada",4
2009,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",DNK,"Denmark",4
2009,IRQ,"Iraq",IDN,"Indonesia",CAN,"Canada",2
2009,IRQ,"Iraq",UZB,"Uzbekistan",USA,"United States of America",1
2009,IRQ,"Iraq",THA,"Thailand",SWE,"Sweden",1
2009,IRQ,"Iraq",IND,"India",SWE,"Sweden",2
2009,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",NLD,"Netherlands",5
2009,IRQ,"Iraq",THA,"Thailand",USA,"United States of America",11
2009,IRQ,"Iraq",MYS,"Malaysia",NZL,"New Zealand",1
2009,IRQ,"Iraq",PAK,"Pakistan",AUS,"Australia",6
2009,IRQ,"Iraq",MYS,"Malaysia",USA,"United States of America",6
2010,IRQ,"Iraq",MYS,"Malaysia",USA,"United States of America",15
2010,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",CAN,"Canada",3
2010,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",AUS,"Australia",9
2010,IRQ,"Iraq",CHN,"China",USA,"United States of America",1
2010,IRQ,"Iraq",IDN,"Indonesia",AUS,"Australia",36
2010,IRQ,"Iraq",MYS,"Malaysia",CAN,"Canada",3
2010,IRQ,"Iraq",PAK,"Pakistan",SWE,"Sweden",2
2010,IRQ,"Iraq",IDN,"Indonesia",USA,"United States of America",6
2010,IRQ,"Iraq",UZB,"Uzbekistan",USA,"United States of America",1
2010,IRQ,"Iraq",IND,"India",USA,"United States of America",3
2010,IRQ,"Iraq",IND,"India",AUS,"Australia",1
2010,IRQ,"Iraq",THA,"Thailand",NLD,"Netherlands",2
2010,IRQ,"Iraq",TJK,"Tajikistan",USA,"United States of America",1
2010,IRQ,"Iraq",CHN,"China",AUS,"Australia",1
2010,IRQ,"Iraq",IND,"India",CAN,"Canada",7
2010,IRQ,"Iraq",LKA,"Sri Lanka",USA,"United States of America",6
2010,IRQ,"Iraq",THA,"Thailand",USA,"United States of America",31
2010,IRQ,"Iraq",CHN,"China",FRA,"France",7
2011,IRQ,"Iraq",THA,"Thailand",USA,"United States of America",7
2011,IRQ,"Iraq",MYS,"Malaysia",AUS,"Australia",11
2011,IRQ,"Iraq",CHN,"China",USA,"United States of America",1
2011,IRQ,"Iraq",IDN,"Indonesia",AUS,"Australia",109
2011,IRQ,"Iraq",MYS,"Malaysia",CAN,"Canada",1
2011,IRQ,"Iraq",IND,"India",USA,"United States of America",13
2011,IRQ,"Iraq",THA,"Thailand",CAN,"Canada",1
2011,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",NLD,"Netherlands",2
2012,SYR,"Syrian Arab Rep.",KGZ,"Kyrgyzstan",USA,"United States of America",4
2012,IRQ,"Iraq",IDN,"Indonesia",SWE,"Sweden",1
2012,IRQ,"Iraq",THA,"Thailand",USA,"United States of America",9
2012,IRQ,"Iraq",MYS,"Malaysia",USA,"United States of America",1
2012,IRQ,"Iraq",PAK,"Pakistan",CAN,"Canada",6
2012,IRQ,"Iraq",MYS,"Malaysia",AUS,"Australia",48
2012,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",SWE,"Sweden",1
2012,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",AUS,"Australia",3
2012,IRQ,"Iraq",IDN,"Indonesia",NZL,"New Zealand",8
2012,SYR,"Syrian Arab Rep.",THA,"Thailand",SWE,"Sweden",1
2012,IRQ,"Iraq",IDN,"Indonesia",AUS,"Australia",28
2013,IRQ,"Iraq",MYS,"Malaysia",NZL,"New Zealand",4
2013,SYR,"Syrian Arab Rep.",KGZ,"Kyrgyzstan",USA,"United States of America",1
2013,IRQ,"Iraq",NPL,"Nepal",USA,"United States of America",1
2013,IRQ,"Iraq",THA,"Thailand",USA,"United States of America",11
2013,IRQ,"Iraq",MYS,"Malaysia",USA,"United States of America",29
2013,IRQ,"Iraq",THA,"Thailand",AUS,"Australia",4
2013,IRQ,"Iraq",MYS,"Malaysia",AUS,"Australia",1
2013,IRQ,"Iraq",KAZ,"Kazakhstan",FIN,"Finland",1
2013,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",AUS,"Australia",3
2013,SYR,"Syrian Arab Rep.",LKA,"Sri Lanka",USA,"United States of America",1
2013,IRQ,"Iraq",CHN,"China",USA,"United States of America",7
2013,IRQ,"Iraq",IDN,"Indonesia",NZL,"New Zealand",23
2013,IRQ,"Iraq",IDN,"Indonesia",USA,"United States of America",2
2013,IRQ,"Iraq",MYS,"Malaysia",CAN,"Canada",6
2013,IRQ,"Iraq",IDN,"Indonesia",AUS,"Australia",48
2013,IRQ,"Iraq",PAK,"Pakistan",USA,"United States of America",5
2013,IRQ,"Iraq",THA,"Thailand",NLD,"Netherlands",1
2013,IRQ,"Iraq",TJK,"Tajikistan",CAN,"Canada",1
2014,IRQ,"Iraq",IND,"India",CAN,"Canada",4
2014,IRQ,"Iraq",MYS,"Malaysia",NZL,"New Zealand",9
2014,IRQ,"Iraq",VUT,"Vanuatu",NZL,"New Zealand",1
2014,SYR,"Syrian Arab Rep.",MYS,"Malaysia",USA,"United States of America",1
2014,SYR,"Syrian Arab Rep.",KGZ,"Kyrgyzstan",USA,"United States of America",1
2014,SYR,"Syrian Arab Rep.",THA,"Thailand",CAN,"Canada",6
2014,SYR,"Syrian Arab Rep.",MYS,"Malaysia",DEU,"Germany",1
2014,IRQ,"Iraq",THA,"Thailand",USA,"United States of America",12
2014,IRQ,"Iraq",MYS,"Malaysia",USA,"United States of America",34
2014,IRQ,"Iraq",MYS,"Malaysia",AUS,"Australia",4
2014,IRQ,"Iraq",CHN,"China",USA,"United States of America",6
2014,IRQ,"Iraq",IDN,"Indonesia",NZL,"New Zealand",4
2014,SYR,"Syrian Arab Rep.",MYS,"Malaysia",SWE,"Sweden",12
2014,IRQ,"Iraq",IDN,"Indonesia",USA,"United States of America",5
2014,SYR,"Syrian Arab Rep.",THA,"Thailand",USA,"United States of America",2
2014,IRQ,"Iraq",MYS,"Malaysia",CAN,"Canada",3
2014,SYR,"Syrian Arab Rep.",THA,"Thailand",NLD,"Netherlands",22
2014,IRQ,"Iraq",IDN,"Indonesia",AUS,"Australia",35
2014,IRQ,"Iraq",PAK,"Pakistan",USA,"United States of America",3
2014,IRQ,"Iraq",IND,"India",USA,"United States of America",8
2014,IRQ,"Iraq",THA,"Thailand",NLD,"Netherlands",1
2014,SYR,"Syrian Arab Rep.",MYS,"Malaysia",CAN,"Canada",6
2014,SYR,"Syrian Arab Rep.",SGP,"Singapore",CAN,"Canada",1
2014,SYR,"Syrian Arab Rep.",THA,"Thailand",NZL,"New Zealand",1
2015,SYR,"Syrian Arab Rep.",THA,"Thailand",BRA,"Brazil",1
2015,IRQ,"Iraq",MYS,"Malaysia",NZL,"New Zealand",2
2015,SYR,"Syrian Arab Rep.",MYS,"Malaysia",USA,"United States of America",4
2015,SYR,"Syrian Arab Rep.",THA,"Thailand",CAN,"Canada",4
2015,SYR,"Syrian Arab Rep.",MYS,"Malaysia",DNK,"Denmark",1
2015,IRQ,"Iraq",THA,"Thailand",USA,"United States of America",5
2015,SYR,"Syrian Arab Rep.",IDN,"Indonesia",CAN,"Canada",1
2015,IRQ,"Iraq",MYS,"Malaysia",USA,"United States of America",42
2015,SYR,"Syrian Arab Rep.",THA,"Thailand",SWE,"Sweden",2
2015,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",AUS,"Australia",7
2015,IRQ,"Iraq",MYS,"Malaysia",AUS,"Australia",35
2015,SYR,"Syrian Arab Rep.",MYS,"Malaysia",AUS,"Australia",1
2015,IRQ,"Iraq",IDN,"Indonesia",NZL,"New Zealand",3
2015,SYR,"Syrian Arab Rep.",MYS,"Malaysia",SWE,"Sweden",20
2015,IRQ,"Iraq",IDN,"Indonesia",USA,"United States of America",1
2015,SYR,"Syrian Arab Rep.",THA,"Thailand",USA,"United States of America",3
2015,IRQ,"Iraq",THA,"Thailand",CAN,"Canada",1
2015,IRQ,"Iraq",MYS,"Malaysia",CAN,"Canada",2
2015,SYR,"Syrian Arab Rep.",IND,"India",CAN,"Canada",1
2015,SYR,"Syrian Arab Rep.",THA,"Thailand",NLD,"Netherlands",7
2015,IRQ,"Iraq",IDN,"Indonesia",AUS,"Australia",70
2015,IRQ,"Iraq",PAK,"Pakistan",USA,"United States of America",6
2015,SYR,"Syrian Arab Rep.",MYS,"Malaysia",CAN,"Canada",1
2015,SYR,"Syrian Arab Rep.",IND,"India",SWE,"Sweden",1
2016,SYR,"Syrian Arab Rep.",MYS,"Malaysia",CAN,"Canada",8
2016,SYR,"Syrian Arab Rep.",THA,"Thailand",NZL,"New Zealand",2
2016,SYR,"Syrian Arab Rep.",CHN,"China",USA,"United States of America",2
2016,IRQ,"Iraq",MYS,"Malaysia",NZL,"New Zealand",11
2016,IRQ,"Iraq",THA,"Thailand",AUS,"Australia",8
2016,SYR,"Syrian Arab Rep.",MYS,"Malaysia",USA,"United States of America",21
2016,SYR,"Syrian Arab Rep.",THA,"Thailand",CAN,"Canada",2
2016,IRQ,"Iraq",THA,"Thailand",USA,"United States of America",8
2016,IRQ,"Iraq",MYS,"Malaysia",USA,"United States of America",21
2016,IRQ,"Iraq",MYS,"Malaysia",AUS,"Australia",10
2016,IRQ,"Iraq",CHN,"China",USA,"United States of America",1
2016,SYR,"Syrian Arab Rep.",IDN,"Indonesia",USA,"United States of America",28
2016,IRQ,"Iraq",IDN,"Indonesia",NZL,"New Zealand",1
2016,SYR,"Syrian Arab Rep.",MYS,"Malaysia",SWE,"Sweden",11
2016,IRQ,"Iraq",IDN,"Indonesia",USA,"United States of America",15
2016,SYR,"Syrian Arab Rep.",THA,"Thailand",USA,"United States of America",36
2016,IRQ,"Iraq",IDN,"Indonesia",AUS,"Australia",28
2016,SYR,"Syrian Arab Rep.",THA,"Thailand",AUS,"Australia",11
2017,IRQ,"Iraq",IDN,"Indonesia",AUS,"Australia",5
2017,SYR,"Syrian Arab Rep.",THA,"Thailand",NZL,"New Zealand",3
2017,IRQ,"Iraq",IND,"India",CAN,"Canada",3
2017,SYR,"Syrian Arab Rep.",MYS,"Malaysia",CAN,"Canada",4
2017,IRQ,"Iraq",MYS,"Malaysia",NZL,"New Zealand",2
2017,SYR,"Syrian Arab Rep.",MYS,"Malaysia",NOR,"Norway",1
2017,SYR,"Syrian Arab Rep.",MYS,"Malaysia",USA,"United States of America",16
2017,SYR,"Syrian Arab Rep.",MYS,"Malaysia",NZL,"New Zealand",22
2017,SYR,"Syrian Arab Rep.",THA,"Thailand",SWE,"Sweden",3
2017,IRQ,"Iraq",THA,"Thailand",USA,"United States of America",1
2017,IRQ,"Iraq",MYS,"Malaysia",USA,"United States of America",5
2017,IRQ,"Iraq",MYS,"Malaysia",SWE,"Sweden",10
2017,IRQ,"Iraq",MYS,"Malaysia",CAN,"Canada",4
2017,SYR,"Syrian Arab Rep.",MYS,"Malaysia",SWE,"Sweden",46
2017,IRQ,"Iraq",IDN,"Indonesia",USA,"United States of America",9
2017,SYR,"Syrian Arab Rep.",THA,"Thailand",USA,"United States of America",4
2018,SYR,"Syrian Arab Rep.",MYS,"Malaysia",SWE,"Sweden",3
2018,SYR,"Syrian Arab Rep.",THA,"Thailand",NZL,"New Zealand",1
2018,SYR,"Syrian Arab Rep.",MYS,"Malaysia",CAN,"Canada",1
2018,SYR,"Syrian Arab Rep.",IDN,"Indonesia",AUS,"Australia",1
2018,IRQ,"Iraq",MYS,"Malaysia",NZL,"New Zealand",3
2018,IRQ,"Iraq",IDN,"Indonesia",CAN,"Canada",4
2018,SYR,"Syrian Arab Rep.",THA,"Thailand",CAN,"Canada",2
2018,SYR,"Syrian Arab Rep.",IDN,"Indonesia",NZL,"New Zealand",6
2018,SYR,"Syrian Arab Rep.",MYS,"Malaysia",AUS,"Australia",5
2018,IRQ,"Iraq",THA,"Thailand",USA,"United States of America",1
2018,IRQ,"Iraq",MYS,"Malaysia",USA,"United States of America",1
2018,IRQ,"Iraq",MYS,"Malaysia",AUS,"Australia",6
2018,SYR,"Syrian Arab Rep.",PLW,"Palau",SWE,"Sweden",4
2018,IRQ,"Iraq",IDN,"Indonesia",NZL,"New Zealand",4
2018,IRQ,"Iraq",THA,"Thailand",CAN,"Canada",5
2019,IRQ,"Iraq",PNG,"Papua New Guinea",USA,"United States of America",8
2019,IRQ,"Iraq",IDN,"Indonesia",USA,"United States of America",3
2019,SYR,"Syrian Arab Rep.",THA,"Thailand",USA,"United States of America",1
2019,SYR,"Syrian Arab Rep.",THA,"Thailand",AUS,"Australia",22
2019,IRQ,"Iraq",MYS,"Malaysia",FIN,"Finland",1
2019,SYR,"Syrian Arab Rep.",MYS,"Malaysia",SWE,"Sweden",2
2019,IRQ,"Iraq",THA,"Thailand",NZL,"New Zealand",1
2019,IRQ,"Iraq",IND,"India",CAN,"Canada",5
2019,IRQ,"Iraq",THA,"Thailand",GBR,"United Kingdom of Great Britain and Northern Ireland",1
2019,SYR,"Syrian Arab Rep.",THA,"Thailand",NZL,"New Zealand",3
2019,SYR,"Syrian Arab Rep.",LKA,"Sri Lanka",CAN,"Canada",10
2019,IRQ,"Iraq",THA,"Thailand",AUS,"Australia",23
2019,SYR,"Syrian Arab Rep.",IDN,"Indonesia",CAN,"Canada",3
2019,SYR,"Syrian Arab Rep.",MYS,"Malaysia",USA,"United States of America",6
2019,IRQ,"Iraq",IDN,"Indonesia",CAN,"Canada",7
2019,SYR,"Syrian Arab Rep.",THA,"Thailand",CAN,"Canada",1
2019,SYR,"Syrian Arab Rep.",MYS,"Malaysia",AUS,"Australia",5
2019,IRQ,"Iraq",NRU,"Nauru",USA,"United States of America",3
2019,SYR,"Syrian Arab Rep.",PNG,"Papua New Guinea",USA,"United States of America",1
2019,IRQ,"Iraq",MYS,"Malaysia",USA,"United States of America",10
2019,IRQ,"Iraq",IDN,"Indonesia",NZL,"New Zealand",11
2019,IRQ,"Iraq",THA,"Thailand",CAN,"Canada",13
2019,IRQ,"Iraq",MYS,"Malaysia",CAN,"Canada",1

"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data. In addition, resettlement departure figures reported by UNHCR may not match resettlement statistics published by States as Government figures may include individuals who were resettled outside of UNHCR processes. More information about UNHCR's resettlement programe can be found at http://www.unhcr.org/resettlement.html."
